step,sum,mean,std,cv,median,min,max
extract,20.206,0.202,0.046,22.8,0.191,0.134,0.515
transform,0.793,0.008,0.007,94.3,0.005,0.005,0.064
load,33.035,0.33,0.04,12.17,0.324,0.24,0.46
total,54.033,0.54,0.07,12.87,0.523,0.433,0.842
