step,sum,mean,std,cv,median,min,max
extract,29.216,0.292,0.11,37.7,0.259,0.217,0.683
transform,0.779,0.008,0.001,12.92,0.007,0.006,0.012
load,34.176,0.342,0.028,8.16,0.336,0.279,0.461
total,64.172,0.642,0.116,18.11,0.605,0.544,1.08
