step,sum,mean,std,cv,median,min,max
extract,73.643,0.736,0.301,40.82,0.728,0.33,1.899
transform,0.685,0.007,0.001,19.37,0.006,0.005,0.015
load,51.454,0.515,0.05,9.77,0.509,0.419,0.655
total,125.782,1.258,0.304,24.19,1.249,0.759,2.415
