aggregation,sum,mean,std,cv,median,min,max
hour,125.782,1.258,0.304,24.19,1.249,0.759,2.415
day,64.172,0.642,0.116,18.11,0.605,0.544,1.08
month,54.033,0.54,0.07,12.87,0.523,0.433,0.842
year,52.208,0.522,0.049,9.43,0.512,0.413,0.785
total,296.195,0.74,0.346,46.71,0.585,0.413,2.415
