file,read,parse,total
0,0.083881,0.003369,0.087342
1,0.087578,0.003117,0.090767
2,0.080470,0.003698,0.084246
3,0.082101,0.003643,0.085870
4,0.082343,0.003257,0.085675
5,0.090029,0.003035,0.093132
6,0.071647,0.002954,0.074665
7,0.081566,0.003111,0.084745
8,0.081937,0.003768,0.085810
9,0.070952,0.003090,0.074111
10,0.088479,0.004777,0.093365
11,0.088805,0.003095,0.091971
12,0.082935,0.003676,0.086694
13,0.084864,0.003103,0.088034
14,0.079758,0.004376,0.084219
15,0.080308,0.003280,0.083673
16,0.072954,0.003131,0.076159
17,0.086073,0.003174,0.089349
18,0.081526,0.002971,0.084562
19,0.080237,0.003150,0.083460
20,0.076468,0.003243,0.079782
21,0.071810,0.003083,0.074962
22,0.080209,0.003462,0.083770
23,0.082899,0.003246,0.086228
24,0.081636,0.002981,0.084682
25,0.078056,0.003597,0.081759
26,0.080242,0.003345,0.083660
27,0.070775,0.003693,0.074548
28,0.070642,0.003929,0.074649
29,0.084357,0.003022,0.087446
30,0.083809,0.003691,0.087580
31,0.084187,0.004198,0.088514
32,0.089097,0.002915,0.092083
33,0.086824,0.002995,0.089886
34,0.087559,0.002997,0.090623
35,0.086696,0.002986,0.089748
36,0.085637,0.003135,0.088838
37,0.082378,0.003737,0.086196
38,0.080374,0.003430,0.083882
39,0.082452,0.003055,0.085580
40,0.081591,0.003155,0.084821
41,0.080655,0.002934,0.083654
42,0.094650,0.003008,0.097725
43,0.072752,0.003061,0.075879
44,0.087918,0.002997,0.090983
45,0.071837,0.003096,0.075022
46,0.085785,0.002993,0.088846
47,0.080411,0.003150,0.083630
48,0.073930,0.003105,0.077103
49,0.083993,0.003044,0.087106
50,0.084735,0.003992,0.088846
51,0.074933,0.004009,0.079054
52,0.072853,0.004944,0.077912
53,0.090799,0.003008,0.093878
54,0.084846,0.003051,0.087974
55,0.087691,0.003327,0.091112
56,0.086923,0.003297,0.090313
57,0.087450,0.003129,0.090651
58,0.085462,0.002921,0.088446
59,0.084988,0.003734,0.088799
60,0.084907,0.003047,0.088022
61,0.085427,0.002958,0.088449
62,0.083932,0.003037,0.087035
63,0.081587,0.003063,0.084719
64,0.088026,0.002984,0.091076
65,0.090705,0.003999,0.094784
66,0.085247,0.003027,0.088341
67,0.071521,0.003010,0.074601
68,0.084339,0.003733,0.088148
69,0.087327,0.003107,0.090510
70,0.082365,0.002978,0.085406
71,0.091293,0.003045,0.094407
72,0.087617,0.002921,0.090604
73,0.071913,0.003201,0.075189
74,0.066846,0.002951,0.069867
75,0.094568,0.003013,0.097647
76,0.079032,0.003271,0.082382
77,0.083140,0.003044,0.086247
78,0.088017,0.003605,0.091706
79,0.096536,0.002957,0.099560
80,0.083603,0.003164,0.086839
81,0.065319,0.003347,0.068739
82,0.070770,0.003012,0.073853
83,0.085291,0.003025,0.088389
84,0.083849,0.003211,0.087137
85,0.081829,0.003455,0.085370
86,0.082185,0.003366,0.085648
87,0.081886,0.002990,0.084942
88,0.084711,0.002989,0.087767
89,0.073103,0.003026,0.076193
90,0.075232,0.002975,0.078282
91,0.085554,0.002991,0.088611
92,0.086134,0.003006,0.089211
93,0.069284,0.003757,0.073121
94,0.083236,0.003173,0.086480
95,0.090899,0.002944,0.093911
96,0.087146,0.003277,0.090502
97,0.083840,0.003580,0.087496
98,0.081095,0.007863,0.089108
99,0.078122,0.004362,0.082604
100,0.072006,0.004766,0.076874
101,0.077733,0.003514,0.081345
102,0.070717,0.003115,0.073901
103,0.077787,0.003813,0.081680
104,0.069206,0.003016,0.072290
105,0.081657,0.003473,0.085227
106,0.084661,0.003809,0.088547
107,0.087740,0.003796,0.091614
108,0.078569,0.003378,0.082037
109,0.073726,0.003267,0.077074
110,0.083729,0.003023,0.086819
111,0.081472,0.003077,0.084625
112,0.088999,0.003306,0.092399
113,0.085191,0.003586,0.088854
114,0.081495,0.002982,0.084544
115,0.082759,0.003086,0.085914
116,0.084181,0.002959,0.087207
117,0.086743,0.003030,0.089842
118,0.091016,0.003418,0.094517
119,0.075146,0.003840,0.079077
120,0.072469,0.003012,0.075551
121,0.084748,0.002973,0.087788
122,0.087446,0.003325,0.090885
123,0.094199,0.002969,0.097234
124,0.084214,0.003074,0.087368
125,0.087809,0.003034,0.090919
126,0.084111,0.002992,0.087179
127,0.083536,0.003091,0.086698
128,0.084271,0.002912,0.087252
129,0.083866,0.002951,0.086888
130,0.084942,0.003357,0.088382
131,0.101633,0.002944,0.104641
132,0.097210,0.002972,0.100252
133,0.077092,0.003710,0.080903
134,0.068761,0.003654,0.072494
135,0.086054,0.002971,0.089091
136,0.085140,0.003651,0.088876
137,0.084046,0.003037,0.087154
138,0.073774,0.002928,0.076770
139,0.081150,0.003640,0.084891
140,0.070045,0.003681,0.073803
141,0.082579,0.003100,0.085747
142,0.086635,0.003098,0.089811
143,0.082841,0.003010,0.085920
144,0.078216,0.003453,0.081750
145,0.078694,0.002976,0.081734
146,0.080916,0.003442,0.084438
147,0.087142,0.003793,0.091023
148,0.088475,0.003287,0.091851
149,0.086392,0.003017,0.089478
150,0.085774,0.003017,0.088860
151,0.087251,0.003048,0.090368
152,0.093803,0.003097,0.097007
153,0.091254,0.003849,0.095188
154,0.088679,0.003079,0.091826
155,0.086150,0.003011,0.089228
156,0.088846,0.002989,0.091903
157,0.077107,0.003826,0.081009
158,0.089166,0.003504,0.092748
159,0.089273,0.003050,0.092393
160,0.083748,0.003193,0.087019
161,0.083080,0.002949,0.086094
162,0.083993,0.003017,0.087079
163,0.083296,0.003067,0.086432
164,0.084202,0.003004,0.087271
165,0.073914,0.002977,0.076962
166,0.082532,0.003086,0.085689
167,0.080556,0.002968,0.083591
168,0.086236,0.002976,0.089284
169,0.083787,0.003784,0.087653
170,0.087078,0.003049,0.090194
171,0.085637,0.003206,0.088916
172,0.092146,0.003077,0.095291
173,0.075612,0.003105,0.078791
174,0.087490,0.003006,0.090560
175,0.080340,0.003187,0.083599
176,0.074485,0.002965,0.077517
177,0.084823,0.003298,0.088198
178,0.085413,0.002933,0.088435
179,0.069658,0.003178,0.072907
180,0.082429,0.003067,0.085578
181,0.083538,0.003239,0.086860
182,0.088176,0.002991,0.091241
183,0.073148,0.002950,0.076166
184,0.071848,0.002920,0.074836
185,0.081616,0.003297,0.085012
186,0.085074,0.002996,0.088138
187,0.084713,0.003410,0.088205
188,0.070366,0.003875,0.074352
189,0.091236,0.003024,0.094341
190,0.091360,0.003056,0.094494
191,0.079937,0.003382,0.083410
192,0.107498,0.003942,0.111537
193,0.084092,0.003040,0.087202
194,0.097268,0.002981,0.100318
195,0.084402,0.002989,0.087459
196,0.085921,0.003414,0.089417
197,0.083577,0.003138,0.086784
198,0.081724,0.003364,0.085174
199,0.090110,0.002998,0.093174
