file,read,parse,total
0,0.079135,0.003125,0.082349
1,0.083256,0.002973,0.086297
2,0.085638,0.003790,0.089513
3,0.087096,0.003017,0.090186
4,0.089276,0.003007,0.092355
5,0.085557,0.003227,0.088864
6,0.080971,0.003236,0.084283
7,0.085950,0.003495,0.089524
8,0.085623,0.002991,0.088681
9,0.088953,0.002950,0.091972
10,0.082285,0.003058,0.085411
11,0.085379,0.003126,0.088588
12,0.083998,0.003039,0.087111
13,0.083782,0.003089,0.086950
14,0.084378,0.003021,0.087461
15,0.081748,0.003020,0.084837
16,0.076554,0.003757,0.080397
17,0.080050,0.003260,0.083389
18,0.083246,0.003059,0.086378
19,0.081767,0.003335,0.085187
