file,read,parse,total
0,0.090972,0.004044,0.095136
1,0.081906,0.003889,0.085877
2,0.085725,0.003070,0.088872
3,0.087021,0.003197,0.090303
4,0.085394,0.003192,0.088659
5,0.083113,0.003157,0.086355
6,0.071593,0.003023,0.074684
7,0.069658,0.003761,0.073497
8,0.087211,0.003013,0.090290
9,0.085644,0.003081,0.088803
10,0.077326,0.003838,0.081261
11,0.085293,0.003071,0.088426
12,0.080311,0.003097,0.083479
13,0.081655,0.003074,0.084796
14,0.066247,0.003303,0.069630
15,0.076553,0.003007,0.079627
16,0.076683,0.003018,0.079768
17,0.079445,0.003660,0.083183
18,0.077077,0.003047,0.080186
19,0.075437,0.003046,0.078547
20,0.077636,0.003309,0.081020
21,0.083488,0.002996,0.086551
22,0.084206,0.003006,0.087283
23,0.075302,0.003702,0.079081
24,0.077833,0.002942,0.080842
25,0.075305,0.003055,0.078424
26,0.087718,0.003030,0.090813
27,0.088583,0.003264,0.091938
28,0.090323,0.003076,0.093469
29,0.072197,0.003671,0.075946
30,0.080076,0.003034,0.083171
31,0.079317,0.003122,0.082510
32,0.081424,0.003645,0.085157
33,0.084647,0.003862,0.088591
34,0.080512,0.002988,0.083564
35,0.081916,0.003055,0.085043
36,0.086772,0.003405,0.090256
37,0.080605,0.003070,0.083745
38,0.086729,0.003034,0.089829
39,0.073192,0.003052,0.076309
40,0.085022,0.003021,0.088112
41,0.074763,0.003029,0.077858
42,0.098374,0.003053,0.101499
43,0.104420,0.003096,0.107676
44,0.090806,0.003049,0.093921
45,0.084569,0.003050,0.087686
46,0.083809,0.003117,0.086992
47,0.101982,0.003210,0.105272
48,0.077594,0.003159,0.080823
49,0.088045,0.003863,0.092003
50,0.095831,0.003125,0.099033
51,0.074917,0.003985,0.078991
52,0.102822,0.002936,0.105836
53,0.098003,0.003206,0.101279
54,0.084744,0.003398,0.088222
55,0.076708,0.003489,0.080278
56,0.094763,0.002961,0.097790
57,0.076136,0.003002,0.079205
58,0.082687,0.003224,0.085989
59,0.106585,0.003913,0.110595
60,0.095173,0.004135,0.099389
61,0.112091,0.003228,0.115391
62,0.079053,0.003936,0.083076
63,0.073853,0.003565,0.077504
64,0.086825,0.003193,0.090099
65,0.091544,0.003869,0.095512
66,0.099444,0.004010,0.103553
67,0.100822,0.003727,0.104739
68,0.091782,0.003202,0.095063
69,0.097636,0.004486,0.102228
70,0.097652,0.003878,0.101650
71,0.079599,0.002990,0.082659
72,0.095137,0.003349,0.098580
73,0.093199,0.003339,0.096624
74,0.095757,0.003122,0.098956
75,0.098957,0.002980,0.102010
76,0.102826,0.003082,0.105980
77,0.090716,0.003870,0.094671
78,0.075077,0.003250,0.078409
79,0.079011,0.003447,0.082546
80,0.091750,0.003018,0.094836
81,0.093280,0.003446,0.096821
82,0.110126,0.003167,0.113374
83,0.081064,0.003094,0.084230
84,0.098264,0.003387,0.101747
85,0.090342,0.003218,0.093639
86,0.094581,0.003696,0.098360
87,0.095764,0.003094,0.098933
88,0.088504,0.003113,0.091701
89,0.090333,0.003198,0.093607
90,0.091934,0.003019,0.095024
91,0.090263,0.003443,0.093792
92,0.094619,0.003079,0.097772
93,0.086137,0.003074,0.089282
94,0.114042,0.003539,0.117679
95,0.089811,0.003086,0.092967
96,0.090510,0.003465,0.094062
97,0.082390,0.003253,0.085723
98,0.090868,0.003122,0.094061
99,0.087149,0.003233,0.090476
100,0.099535,0.003280,0.102897
101,0.089200,0.003588,0.092874
102,0.088080,0.003069,0.091224
103,0.099789,0.003070,0.102944
104,0.100358,0.003482,0.103925
105,0.090509,0.003087,0.093670
106,0.091586,0.003197,0.094862
107,0.086309,0.003186,0.089577
108,0.092343,0.003082,0.095500
109,0.087594,0.002975,0.090698
110,0.083645,0.004333,0.088069
111,0.075039,0.003095,0.078215
112,0.088365,0.003937,0.092392
113,0.083787,0.003253,0.087111
114,0.087470,0.003191,0.090734
115,0.084468,0.003099,0.087637
116,0.080531,0.003758,0.084381
117,0.082591,0.002975,0.085642
118,0.085245,0.003110,0.088427
119,0.079442,0.003179,0.082709
120,0.087401,0.003385,0.090893
121,0.089127,0.003885,0.093162
122,0.094860,0.003080,0.098009
123,0.086759,0.003382,0.090227
124,0.098074,0.003370,0.101561
125,0.095950,0.003871,0.099943
126,0.104424,0.004108,0.108623
127,0.086561,0.003696,0.090357
128,0.085799,0.003484,0.089379
129,0.098086,0.003690,0.101873
130,0.104930,0.003383,0.108408
131,0.091862,0.003689,0.095642
132,0.088601,0.004714,0.093418
133,0.088351,0.004599,0.093081
134,0.082847,0.003986,0.086966
135,0.095472,0.003093,0.098641
136,0.081929,0.003624,0.085669
137,0.091751,0.002948,0.094766
138,0.083452,0.002947,0.086465
139,0.081675,0.003027,0.084768
140,0.084121,0.003057,0.087244
141,0.085066,0.003004,0.088139
142,0.082390,0.002979,0.085434
143,0.083943,0.003177,0.087197
144,0.087890,0.003064,0.091024
145,0.083063,0.003609,0.086756
146,0.068823,0.003098,0.071990
147,0.082228,0.003065,0.085359
148,0.085626,0.003030,0.088729
149,0.080408,0.003051,0.083526
150,0.081890,0.003796,0.085764
151,0.084761,0.003104,0.087934
152,0.087367,0.003501,0.090963
153,0.085625,0.003067,0.088761
154,0.083026,0.003393,0.086505
155,0.091399,0.003027,0.094493
156,0.073053,0.003768,0.076896
157,0.087214,0.004174,0.091483
158,0.083001,0.002919,0.085987
159,0.085843,0.003722,0.089641
160,0.082376,0.003217,0.085665
161,0.080578,0.003018,0.083666
162,0.070655,0.002919,0.073635
163,0.080912,0.003476,0.084467
164,0.083314,0.003333,0.086729
165,0.082470,0.003108,0.085654
166,0.080672,0.002937,0.083673
167,0.086718,0.003194,0.089987
168,0.100917,0.003848,0.104845
169,0.085515,0.003154,0.088743
170,0.082956,0.003106,0.086135
171,0.091144,0.003126,0.094339
172,0.086615,0.003568,0.090272
173,0.094004,0.002988,0.097059
174,0.081500,0.003009,0.084577
175,0.092625,0.002986,0.095678
