file,read,parse,total
0,0.088531,0.003211,0.091841
1,0.091940,0.004015,0.096040
2,0.088093,0.003141,0.091339
3,0.096211,0.003136,0.099428
4,0.085837,0.003921,0.089891
5,0.087296,0.003373,0.090764
6,0.090699,0.003822,0.094619
7,0.091770,0.003826,0.095689
8,0.095146,0.003572,0.098818
9,0.108807,0.003741,0.112631
10,0.103258,0.003306,0.106642
11,0.093458,0.003783,0.097325
12,0.094667,0.003150,0.097892
13,0.094968,0.002975,0.098015
14,0.073931,0.002968,0.076969
15,0.080261,0.002916,0.083246
16,0.087518,0.003880,0.091489
17,0.110872,0.003062,0.114004
18,0.071360,0.003084,0.074512
19,0.082235,0.003103,0.085411
20,0.085754,0.005750,0.091659
21,0.095527,0.002748,0.098346
22,0.107954,0.003117,0.111159
23,0.087995,0.003451,0.091530
24,0.090153,0.002975,0.093200
25,0.083466,0.003054,0.086594
26,0.083950,0.009648,0.093708
27,0.110084,0.002933,0.113088
28,0.083903,0.003262,0.087238
29,0.071644,0.003065,0.074788
30,0.088280,0.002975,0.091348
31,0.086986,0.003376,0.090469
32,0.083386,0.003197,0.086670
33,0.103958,0.003385,0.107443
34,0.101537,0.003137,0.104754
35,0.086049,0.003180,0.089333
36,0.085946,0.003367,0.089432
37,0.096725,0.003496,0.100335
38,0.116314,0.003629,0.120057
39,0.091339,0.003007,0.094424
40,0.090586,0.003252,0.093925
41,0.087973,0.003589,0.091645
42,0.093868,0.003140,0.097102
43,0.090318,0.003159,0.093563
44,0.090170,0.003401,0.093660
45,0.091159,0.005106,0.096397
46,0.099766,0.003951,0.103874
47,0.091043,0.003272,0.094403
48,0.085367,0.003453,0.088916
49,0.094449,0.003103,0.097630
