file,read,parse,total
0,0.566976,0.019015,0.586451
1,0.609778,0.018997,0.629132
2,0.901870,0.031805,0.934024
3,0.868314,0.019308,0.888003
4,0.509855,0.019641,0.529866
5,0.167477,0.018905,0.186801
6,0.857876,0.020227,0.878486
7,0.565469,0.029975,0.595789
8,0.563834,0.019467,0.583700
9,0.199510,0.021624,0.221492
10,0.940371,0.019517,0.960260
11,0.970884,0.019276,0.990504
12,0.891783,0.030758,0.922905
13,0.559471,0.018524,0.578343
14,0.507267,0.020436,0.528047
15,0.816473,0.018241,0.835044
16,0.914847,0.032284,0.947482
17,0.576925,0.019919,0.597202
18,0.913485,0.018571,0.932422
19,0.515953,0.019133,0.535426
20,0.532078,0.019767,0.552166
21,0.610172,0.052208,0.662884
22,0.529677,0.024070,0.554359
23,0.245339,0.019829,0.265654
24,0.265332,0.020471,0.286315
25,0.815146,0.040334,0.856328
26,0.207656,0.039731,0.248032
27,0.916718,0.018875,0.936034
28,0.964719,0.019431,0.984657
29,0.882450,0.019179,0.902099
30,0.519186,0.019844,0.539495
31,0.563427,0.030269,0.594133
32,0.211102,0.031413,0.243067
33,0.211353,0.019819,0.231690
34,0.562116,0.019813,0.582390
35,0.835587,0.031832,0.867815
36,0.906815,0.018760,0.925963
37,0.522236,0.022656,0.545308
38,0.836457,0.021617,0.858555
39,0.516440,0.019820,0.536686
40,0.921492,0.029620,0.951545
41,0.203343,0.026234,0.230789
42,0.572068,0.078848,0.651872
43,0.657808,0.018519,0.676829
44,0.707193,0.018768,0.726368
45,0.598201,0.035297,0.633994
46,0.906705,0.019196,0.926529
47,0.927953,0.019176,0.947587
48,0.874470,0.019431,0.894330
49,0.894634,0.021090,0.916145
50,0.977531,0.032415,0.010362
51,0.577462,0.021350,0.599240
52,0.204938,0.018299,0.223727
53,0.201767,0.018960,0.221206
54,0.949464,0.040574,0.990833
55,0.236322,0.030710,0.267506
56,0.885279,0.022855,0.908970
57,0.624035,0.022982,0.647451
58,0.219982,0.021129,0.241696
59,0.537052,0.044701,0.582575
60,0.583294,0.024696,0.608500
61,0.570126,0.024160,0.594857
62,0.926115,0.023379,0.950018
63,0.247699,0.021818,0.269989
64,0.574141,0.038529,0.613241
65,0.529951,0.021561,0.551973
66,0.587993,0.023683,0.612290
67,0.922989,0.023130,0.946529
68,0.968451,0.024271,0.993838
69,0.897475,0.029327,0.927216
70,0.516604,0.021304,0.538417
71,0.206209,0.019863,0.226588
72,0.183914,0.023443,0.207829
73,0.521822,0.031757,0.554023
74,0.985006,0.022540,0.008079
75,0.563304,0.018974,0.582734
76,0.528140,0.023150,0.551841
77,0.688365,0.063190,0.752303
78,0.570016,0.029380,0.599834
79,0.586024,0.019682,0.606109
80,0.649354,0.042287,0.692550
81,0.239005,0.041464,0.281131
82,0.930624,0.019749,0.950740
83,0.218064,0.043336,0.261726
84,0.219413,0.025103,0.244832
85,0.213235,0.020659,0.234250
86,0.863007,0.023763,0.887313
87,0.501330,0.020525,0.522364
88,0.565468,0.029930,0.595881
89,0.916903,0.021283,0.938973
90,0.922958,0.020384,0.943776
91,0.241734,0.025376,0.267729
92,0.251350,0.032240,0.284088
93,0.874946,0.020134,0.895494
94,0.854521,0.020816,0.875785
95,0.572642,0.022653,0.595732
96,0.574991,0.020542,0.595994
97,0.533700,0.031664,0.565887
98,0.880543,0.021543,0.902527
99,0.919738,0.019234,0.939391
100,0.220449,0.018658,0.239496
101,0.206682,0.021397,0.228542
102,0.862622,0.033674,0.896724
103,0.564248,0.021671,0.586399
104,0.472906,0.020870,0.494258
105,0.216732,0.022063,0.239230
106,0.862405,0.019808,0.882635
107,0.589622,0.032563,0.622615
108,0.942183,0.019033,0.961615
109,0.553424,0.020257,0.574151
110,0.167674,0.020047,0.189183
111,0.526107,0.030707,0.557222
112,0.936990,0.019226,0.956604
113,0.891264,0.019950,0.911648
114,0.208832,0.019582,0.228862
115,0.893196,0.020875,0.914511
116,0.534515,0.031717,0.566673
117,0.924223,0.019270,0.943959
118,0.914622,0.019134,0.934250
119,0.573073,0.020313,0.593861
120,0.906751,0.019215,0.926399
121,0.576188,0.032719,0.609346
122,0.555689,0.019034,0.575230
123,0.867444,0.019342,0.887212
124,0.208540,0.019389,0.228336
125,0.917685,0.018833,0.936988
126,0.098178,0.029642,0.128249
127,0.569500,0.022062,0.591974
128,0.565714,0.021026,0.587442
129,0.565863,0.021338,0.587682
130,0.514863,0.030263,0.545538
131,0.872962,0.021227,0.894566
132,0.976296,0.021133,0.997858
133,0.551623,0.019956,0.571995
134,0.217507,0.021274,0.239243
135,0.094596,0.034868,0.129975
136,0.240554,0.019277,0.260287
137,0.605983,0.019572,0.626086
138,0.939612,0.019931,0.959990
139,0.215009,0.021981,0.237417
140,0.796553,0.034703,0.831698
141,0.585113,0.031547,0.617188
142,0.601565,0.020265,0.622406
143,0.901135,0.056929,0.958799
144,0.245772,0.043037,0.289749
145,0.589681,0.033084,0.623177
146,0.528367,0.022633,0.551508
147,0.983255,0.034799,0.018508
148,0.112907,0.028422,0.141962
149,0.910121,0.033745,0.944205
150,0.567847,0.021673,0.589844
151,0.966622,0.018040,0.984986
152,0.560797,0.018427,0.579558
153,0.584600,0.061211,0.646590
154,0.919820,0.033243,0.953420
155,0.578932,0.021169,0.600494
156,0.226209,0.041519,0.268220
157,0.602521,0.046987,0.650162
158,0.216274,0.053465,0.270459
159,0.553285,0.036910,0.590529
160,0.914338,0.020164,0.934825
161,0.605293,0.029834,0.635505
162,0.201078,0.030254,0.231643
163,0.527787,0.020075,0.548200
164,0.594721,0.031578,0.626671
165,0.859519,0.022151,0.882082
166,0.557412,0.019425,0.577231
167,0.572214,0.019094,0.591642
168,0.923669,0.036324,0.960336
169,0.552692,0.020162,0.573187
170,0.880099,0.032903,0.913455
171,0.193600,0.026218,0.220188
172,0.532447,0.021827,0.554607
173,0.925516,0.038891,0.964735
174,0.567070,0.019987,0.587384
175,0.898496,0.028270,0.927221
176,0.534329,0.025878,0.560585
177,0.229464,0.020237,0.250030
178,0.882369,0.031045,0.913798
179,0.613255,0.023922,0.637596
180,0.548731,0.022521,0.571589
181,0.199834,0.022995,0.223165
182,0.560538,0.022474,0.583373
183,0.568224,0.053006,0.621692
184,0.574706,0.018744,0.593788
185,0.915487,0.019231,0.935112
186,0.200551,0.019594,0.220539
187,0.204605,0.035339,0.240297
188,0.956409,0.019818,0.976715
189,0.560567,0.019789,0.580707
190,0.936817,0.019187,0.956336
191,0.867873,0.019659,0.887826
192,0.548539,0.029061,0.577955
193,0.562029,0.018616,0.580995
194,0.567397,0.022157,0.589882
195,0.514240,0.018382,0.532936
