file,read,parse,total
0,0.558290,0.021386,0.580022
1,0.575482,0.025511,0.601350
2,0.568710,0.021910,0.590994
3,0.209697,0.021778,0.231794
4,0.560798,0.028944,0.590013
5,0.555833,0.025696,0.581946
6,0.230774,0.021527,0.252625
7,0.935149,0.022848,0.958316
8,0.623109,0.021179,0.644606
9,0.324609,0.036352,0.361291
10,0.572075,0.019217,0.591593
11,0.166468,0.021293,0.188077
12,0.217103,0.022284,0.239737
13,0.906618,0.022226,0.929373
14,0.225727,0.035626,0.261982
15,0.561325,0.020454,0.582377
16,0.208090,0.020047,0.228624
17,0.917719,0.021036,0.939286
18,0.244042,0.030341,0.275061
19,0.527959,0.019252,0.547659
20,0.211957,0.019643,0.232288
21,0.086955,0.019059,0.106447
22,0.218197,0.020163,0.238807
23,0.945645,0.032321,0.978603
24,0.570836,0.023935,0.595450
25,0.508366,0.018845,0.527669
26,0.545225,0.022182,0.567950
27,0.941567,0.022053,0.964074
28,0.957040,0.069229,0.027831
29,0.573674,0.019775,0.593904
30,0.474051,0.025454,0.499980
31,0.832890,0.023219,0.856648
32,0.585574,0.028171,0.614216
33,0.874012,0.033784,0.908293
34,0.093637,0.020367,0.114412
35,0.827265,0.022181,0.849853
36,0.262732,0.037028,0.300246
37,0.279397,0.047338,0.327109
38,0.248067,0.027815,0.276508
39,0.915252,0.037071,0.952951
40,0.239166,0.023362,0.262897
41,0.104800,0.042278,0.147500
42,0.088033,0.080853,0.170008
43,0.956829,0.034787,0.992131
44,0.893092,0.023196,0.916635
45,0.569832,0.020302,0.590429
46,0.250997,0.023619,0.274983
47,0.253647,0.057321,0.311422
48,0.548864,0.033809,0.583117
49,0.252815,0.032120,0.285355
50,0.602438,0.026821,0.629652
51,0.591126,0.025435,0.616862
52,0.237945,0.045862,0.284137
53,0.304148,0.029403,0.333995
54,0.225889,0.022985,0.249200
55,0.537829,0.027377,0.565662
56,0.235941,0.044940,0.281184
57,0.248861,0.023285,0.273022
58,0.590853,0.023337,0.614509
59,0.239033,0.025574,0.264987
60,0.529561,0.024683,0.554559
61,0.218152,0.035042,0.253527
62,0.561073,0.020660,0.582129
63,0.599850,0.024013,0.624218
64,0.596546,0.027684,0.624683
65,0.603289,0.022106,0.625852
66,0.900428,0.036873,0.937665
67,0.524204,0.025775,0.550439
68,0.213086,0.020730,0.234192
69,0.528119,0.020237,0.548787
70,0.234435,0.059102,0.293949
71,0.486814,0.036416,0.523614
72,0.249176,0.020394,0.269883
73,0.571958,0.019593,0.591926
74,0.241890,0.018631,0.260851
75,0.214212,0.036834,0.251515
76,0.571404,0.020557,0.592254
77,0.522937,0.020305,0.543559
78,0.635284,0.025789,0.661510
79,0.561780,0.032566,0.594687
80,0.227295,0.029326,0.256986
81,0.088630,0.023191,0.112236
82,0.245980,0.033297,0.279828
83,0.239196,0.020985,0.260591
84,0.546094,0.028651,0.575126
85,0.584673,0.048058,0.633121
86,0.876198,0.027289,0.903856
87,0.583382,0.022162,0.605910
88,0.518271,0.019962,0.538628
89,0.902165,0.023113,0.925607
90,0.530807,0.035345,0.566528
91,0.215660,0.027944,0.244032
92,0.583519,0.019250,0.603110
93,0.905613,0.024035,0.929998
94,0.554220,0.050312,0.605043
95,0.527248,0.025875,0.553596
96,0.487950,0.020564,0.508921
97,0.576501,0.022567,0.600149
98,0.178226,0.020309,0.198895
99,0.216388,0.038807,0.255672
100,0.936236,0.031812,0.968442
101,0.838324,0.026492,0.865392
102,0.571403,0.020000,0.591806
103,0.899764,0.021190,0.921539
104,0.980473,0.035850,0.016827
105,0.306308,0.027817,0.334851
