benchmark,read,parse,total
1,0.998182,0.033596,1.032096
2,0.805252,0.077245,0.883290
5,1.969107,0.148399,2.118842
10,6.006171,0.268846,6.277537
20,11.010016,0.558692,11.573621
50,23.373918,1.449113,24.836743
100,54.050596,2.816319,56.894412
200,102.185036,5.467138,107.708415
500,249.543561,13.853422,263.535993
1000,554.648623,30.098157,585.060158
2000,1089.808451,59.333123,1149.756311
5000,2728.527651,148.538120,2878.606024
10000,5459.726317,297.213115,5760.022213
