file,read,parse,total
0,0.072448,0.003659,0.076206
1,0.074301,0.004243,0.078622
2,0.075569,0.003505,0.079138
3,0.076653,0.003486,0.080211
4,0.070077,0.003475,0.073615
5,0.072890,0.003398,0.076358
6,0.077422,0.003450,0.080941
7,0.061565,0.003409,0.065045
8,0.072860,0.003484,0.076411
9,0.071751,0.004285,0.076122
10,0.069923,0.003508,0.073496
11,0.076644,0.003893,0.080614
12,0.074847,0.003387,0.078298
13,0.074996,0.003469,0.078530
14,0.074432,0.003508,0.078004
15,0.075700,0.003485,0.079250
16,0.073090,0.003805,0.076973
17,0.075496,0.003394,0.078954
18,0.075428,0.003433,0.078927
19,0.074212,0.003932,0.078219
