aggregation,sum,mean,std,cv,median,min,max
quarter-hour,92.627,0.926,0.289,31.21,1.034,0.338,1.546
hour,40.23,0.402,0.179,44.41,0.258,0.22,0.667
day,20.238,0.202,0.022,10.98,0.199,0.173,0.324
month,20.236,0.202,0.019,9.52,0.201,0.171,0.347
year,20.742,0.207,0.021,10.31,0.205,0.177,0.346
