aggregation,sum,mean,std,cv,median,min,max
quarter-hour,113.539,1.135,0.169,14.86,1.096,0.981,2.295
hour,56.8,0.568,0.047,8.3,0.584,0.485,0.701
day,39.985,0.4,0.048,12.07,0.416,0.308,0.556
month,40.059,0.401,0.061,15.29,0.411,0.282,0.73
year,40.056,0.401,0.048,11.95,0.416,0.298,0.514
