benchmark,read,parse,total
1,0.989566,0.023933,0.014006
2,0.826520,0.044861,0.872369
5,3.907162,0.129818,4.039200
10,6.453157,0.374934,4.841344
20,9.267873,0.476350,9.753279
50,24.738802,1.266203,26.030355
100,54.100161,2.593547,54.733040
200,104.215755,5.508302,103.818223
500,274.193259,14.422684,275.853811
1000,589.478396,26.979650,597.945645
2000,1095.394159,51.012479,1111.280871
5000,2889.854739,137.128309,2926.449540
10000,6164.316147,233.622638,6239.684377
