benchmark,read,parse,total
1,0.074583,0.003625,0.078301
2,0.161263,0.007956,0.169383
5,0.386479,0.018824,0.405662
10,0.733336,0.035556,0.769608
20,1.470304,0.072208,1.543934
50,3.954813,0.188757,4.147445
100,8.022504,0.388647,8.419729
200,14.825401,0.739128,15.578994
500,38.225039,1.904356,40.169321
1000,75.209961,3.787285,79.074945
2000,157.823386,7.613851,165.591237
5000,431.700942,20.571028,452.718184
10000,880.429694,42.288655,923.667575
