benchmark,read,parse,total
1,0.852040,0.019653,0.871866
2,0.601636,0.026036,0.627886
5,0.948691,0.082971,1.032157
10,2.268759,0.165519,2.435321
20,4.135615,0.362036,4.500236
50,9.848794,0.800966,10.655723
100,23.171376,1.731130,24.914187
200,45.689538,3.176607,48.888619
500,101.823464,7.649779,109.523014
1000,212.702763,15.082776,227.894134
2000,425.778812,28.823249,454.785510
5000,969.518388,84.040388,1054.133260
10000,2153.406559,168.450473,2323.004373
