benchmark,read,parse,total
1,0.111812,0.004276,0.116173
2,0.170342,0.006101,0.176596
5,0.413180,0.015783,0.429348
10,0.832979,0.030984,0.864729
20,1.674642,0.063575,1.739733
50,4.572507,0.176163,4.753255
100,8.457816,0.336393,8.802649
200,16.562486,0.655810,17.233790
500,42.120518,1.661429,43.822175
1000,87.196698,3.434090,90.715044
2000,169.993515,6.760135,176.918340
5000,438.976578,16.882439,456.265997
10000,831.095929,32.697848,864.562691
