step,sum,mean,std,cv,median,min,max
ratio,9.326,0.094,0.046,48.49,0.082,0.069,0.399
read,60.763,0.614,0.271,44.1,0.448,0.352,1.384
compute,462.645,4.673,4.211,90.1,2.761,2.102,33.861
load,269.186,2.719,2.393,88.01,1.555,1.234,19.17
total,801.92,8.1,6.661,82.24,5.132,3.83,53.834
