file,read,parse,total
0,0.056067,0.003222,0.059378
1,0.089140,0.003211,0.092427
2,0.078215,0.002994,0.081288
3,0.078054,0.003072,0.081190
4,0.070502,0.002967,0.073536
5,0.068495,0.003129,0.071696
6,0.063526,0.004099,0.067716
7,0.073456,0.003149,0.076676
8,0.083369,0.003673,0.087142
9,0.069533,0.004028,0.073644
10,0.069936,0.003297,0.073314
11,0.053507,0.003030,0.056602
12,0.075536,0.003216,0.078832
13,0.071234,0.002981,0.074281
14,0.068671,0.003002,0.071737
15,0.071852,0.003892,0.075830
16,0.079592,0.003986,0.083671
17,0.076060,0.003030,0.079157
18,0.075023,0.003866,0.078980
19,0.068624,0.002996,0.071685
20,0.076707,0.003063,0.079838
21,0.070468,0.004093,0.074646
22,0.055870,0.003656,0.059607
23,0.070485,0.003030,0.073579
24,0.061460,0.003293,0.064829
25,0.071811,0.003237,0.075126
26,0.073320,0.003008,0.076393
27,0.070254,0.003059,0.073381
28,0.072125,0.003146,0.075342
29,0.069355,0.004523,0.073987
30,0.090910,0.004840,0.095869
31,0.090644,0.003265,0.093985
32,0.093233,0.003073,0.096380
33,0.068209,0.003333,0.071622
34,0.087755,0.004363,0.092217
35,0.072881,0.003273,0.076239
36,0.074902,0.003763,0.078751
37,0.065418,0.003163,0.068649
38,0.080492,0.003146,0.083706
39,0.072055,0.003339,0.075487
40,0.084856,0.003147,0.088080
41,0.079343,0.004238,0.083684
42,0.087503,0.003117,0.090687
43,0.097447,0.003072,0.100587
44,0.082263,0.003314,0.085648
45,0.079637,0.003887,0.083607
46,0.074862,0.003886,0.078839
47,0.075139,0.003122,0.078331
48,0.061933,0.003172,0.065182
49,0.087657,0.003037,0.090766
50,0.079693,0.003891,0.083682
51,0.081631,0.003041,0.084743
52,0.079642,0.004011,0.083737
53,0.076948,0.005525,0.082621
54,0.097914,0.005203,0.103196
55,0.077428,0.003210,0.080711
56,0.078195,0.003326,0.081599
57,0.072777,0.004944,0.077831
58,0.079702,0.003184,0.082974
59,0.077493,0.003105,0.080678
60,0.085615,0.005341,0.091109
61,0.094716,0.003564,0.098361
62,0.073252,0.003236,0.076562
63,0.073788,0.003953,0.077828
64,0.074386,0.003128,0.077593
65,0.095197,0.003107,0.098376
66,0.080789,0.003122,0.083983
67,0.083140,0.003135,0.086371
68,0.096450,0.004547,0.101107
69,0.077530,0.003494,0.081104
70,0.061753,0.003104,0.064930
71,0.063427,0.003983,0.067485
72,0.073160,0.003806,0.077062
73,0.093404,0.003032,0.096512
74,0.084881,0.003708,0.088676
75,0.059349,0.003707,0.063146
76,0.083831,0.003081,0.086988
77,0.073341,0.003071,0.076487
78,0.076632,0.003218,0.079953
79,0.072759,0.003732,0.076580
80,0.074662,0.003473,0.078219
81,0.090802,0.007933,0.098882
82,0.082952,0.003683,0.086720
83,0.081438,0.003272,0.084788
84,0.073945,0.003875,0.077906
85,0.075306,0.003089,0.078465
86,0.076730,0.003486,0.080306
87,0.069443,0.003430,0.072963
88,0.075949,0.003526,0.079559
89,0.076462,0.003241,0.079785
90,0.075188,0.003091,0.078357
91,0.086396,0.003453,0.089949
92,0.078741,0.003902,0.082728
93,0.078711,0.003125,0.081910
94,0.072004,0.003451,0.075538
95,0.076774,0.003769,0.080655
96,0.077789,0.003711,0.081581
97,0.061488,0.003194,0.064755
98,0.063465,0.004161,0.067713
99,0.062739,0.003120,0.065932
100,0.063057,0.003781,0.066923
101,0.085805,0.005382,0.091385
102,0.086775,0.003042,0.089896
103,0.061854,0.003347,0.065283
104,0.072285,0.003134,0.075545
105,0.072273,0.003793,0.076145
106,0.070616,0.003244,0.073948
107,0.072100,0.003094,0.075265
108,0.074271,0.003226,0.077574
109,0.079516,0.003163,0.082760
110,0.079070,0.003313,0.082461
111,0.076091,0.003434,0.079608
112,0.081402,0.003095,0.084610
113,0.082546,0.003752,0.086399
114,0.102356,0.003231,0.105676
115,0.096488,0.003402,0.099969
116,0.064626,0.004060,0.068770
117,0.064738,0.004208,0.069034
118,0.066432,0.003770,0.070292
119,0.082021,0.003311,0.085430
120,0.068891,0.003543,0.072534
121,0.084249,0.003471,0.087802
122,0.064044,0.003027,0.067140
123,0.059875,0.003111,0.063056
124,0.071241,0.003446,0.074796
125,0.099721,0.003315,0.103137
126,0.098829,0.003019,0.101913
127,0.071848,0.002981,0.074895
128,0.059009,0.003109,0.062189
129,0.072546,0.003920,0.076554
130,0.075577,0.003865,0.079519
131,0.071440,0.003022,0.074528
132,0.069511,0.003407,0.073035
133,0.073970,0.003910,0.077969
134,0.071603,0.003078,0.074751
135,0.060183,0.003145,0.063400
136,0.068165,0.003117,0.071348
137,0.058535,0.003793,0.062419
138,0.071455,0.002975,0.074496
139,0.070934,0.003075,0.074078
140,0.071163,0.003151,0.074387
141,0.074244,0.003066,0.077376
142,0.077196,0.003022,0.080285
143,0.068559,0.003141,0.071768
144,0.072934,0.003345,0.076370
145,0.070984,0.003444,0.074519
146,0.071954,0.002999,0.075017
147,0.070406,0.003794,0.074282
148,0.073771,0.003060,0.076898
149,0.070519,0.003128,0.073714
150,0.069347,0.003159,0.072588
151,0.067745,0.002958,0.070769
152,0.064450,0.003834,0.068362
153,0.069602,0.003090,0.072756
154,0.074560,0.003126,0.077763
155,0.063114,0.003543,0.066741
156,0.058920,0.003996,0.063003
157,0.077645,0.003066,0.080776
158,0.061966,0.003829,0.065877
159,0.071498,0.004428,0.076014
160,0.071878,0.003072,0.075016
161,0.070611,0.003042,0.073722
162,0.075727,0.002927,0.078717
163,0.075667,0.003759,0.079499
164,0.070053,0.003432,0.073560
165,0.078585,0.003643,0.082316
166,0.061117,0.003253,0.064444
167,0.068063,0.003127,0.071255
168,0.078182,0.003383,0.081653
169,0.068060,0.003686,0.071822
170,0.061879,0.003038,0.065001
171,0.061792,0.003502,0.065373
172,0.068838,0.003074,0.071994
173,0.067406,0.003045,0.070515
174,0.068404,0.003010,0.071477
175,0.062987,0.003720,0.066803
176,0.054999,0.003755,0.058832
177,0.064757,0.003007,0.067827
178,0.068762,0.003027,0.071852
179,0.064620,0.002916,0.067602
180,0.070232,0.003427,0.073734
181,0.064127,0.003125,0.067312
182,0.066140,0.003094,0.069303
183,0.066734,0.002978,0.069778
184,0.065992,0.003657,0.069732
185,0.064212,0.003065,0.067340
186,0.072338,0.003315,0.075741
187,0.060953,0.002919,0.063936
188,0.063591,0.003335,0.067018
189,0.050750,0.003427,0.054254
190,0.062051,0.003094,0.065210
191,0.072072,0.002979,0.075116
192,0.058463,0.002980,0.061505
193,0.064457,0.003799,0.068333
194,0.063289,0.003088,0.066444
195,0.050614,0.003048,0.053729
196,0.052058,0.003001,0.055122
197,0.066144,0.003004,0.069215
198,0.072308,0.003772,0.076160
199,0.061708,0.003221,0.065013
