file,read,parse,total
0,0.069980,0.004882,0.074971
1,0.070205,0.003192,0.073495
2,0.071361,0.003339,0.074779
3,0.066378,0.004034,0.070501
4,0.056986,0.004245,0.061333
5,0.061188,0.003388,0.064661
6,0.070734,0.003253,0.074064
7,0.065454,0.004357,0.070003
8,0.071551,0.004370,0.076044
9,0.062525,0.003436,0.066038
10,0.076205,0.003609,0.079890
11,0.089364,0.009492,0.099038
12,0.083072,0.003620,0.086887
13,0.072135,0.003732,0.075965
14,0.070491,0.004417,0.075009
15,0.070038,0.003496,0.073621
16,0.070245,0.003195,0.073671
17,0.076840,0.004988,0.081949
18,0.073621,0.005228,0.078999
19,0.074627,0.004338,0.079096
20,0.078824,0.003714,0.082625
21,0.084445,0.003836,0.088374
22,0.075509,0.003769,0.079382
23,0.080732,0.003651,0.084492
24,0.078131,0.003897,0.082131
25,0.071983,0.003767,0.075843
26,0.072244,0.005673,0.078014
27,0.075656,0.005639,0.081414
28,0.074979,0.005435,0.080550
29,0.077399,0.004391,0.081880
30,0.079996,0.003805,0.083921
31,0.086595,0.003748,0.090509
32,0.075401,0.003459,0.078946
33,0.080954,0.007051,0.088179
34,0.076915,0.003639,0.080647
35,0.063713,0.004746,0.068562
36,0.072419,0.004337,0.076865
37,0.064143,0.004575,0.068889
38,0.074898,0.003264,0.078235
39,0.074702,0.003261,0.078039
40,0.068372,0.003041,0.071492
41,0.069895,0.003861,0.073854
42,0.068678,0.003224,0.071981
43,0.072073,0.004035,0.076198
44,0.062946,0.004457,0.067508
45,0.079244,0.003260,0.082579
46,0.057336,0.003670,0.061103
47,0.068760,0.003760,0.072617
48,0.070402,0.004356,0.074851
49,0.074041,0.004765,0.078944
50,0.077812,0.007446,0.085407
51,0.063010,0.007150,0.070298
52,0.057649,0.004641,0.062423
53,0.062770,0.006186,0.069077
54,0.124762,0.019489,0.144475
55,0.190544,0.034857,0.225715
56,0.089510,0.012205,0.102001
57,0.094637,0.010534,0.105537
58,0.088767,0.008494,0.097448
59,0.070645,0.009683,0.080489
60,0.093018,0.019713,0.112974
61,0.101336,0.023786,0.125375
62,0.086604,0.018705,0.105569
63,0.092362,0.021661,0.114274
64,0.095704,0.024867,0.120818
65,0.094129,0.019666,0.114036
66,0.122226,0.021092,0.143552
67,0.197278,0.031469,0.229007
68,0.155516,0.035721,0.191574
69,0.130446,0.023376,0.154091
70,0.133382,0.023728,0.158364
71,0.091044,0.013482,0.104773
72,0.086464,0.015395,0.102198
73,0.077079,0.010075,0.087486
74,0.093607,0.008870,0.102654
75,0.086010,0.009406,0.095593
76,0.080853,0.007397,0.088418
77,0.068118,0.009440,0.077739
78,0.087250,0.007337,0.094743
79,0.080021,0.008164,0.088342
80,0.070072,0.010429,0.080652
81,0.069506,0.007938,0.077596
82,0.068305,0.008093,0.076594
83,0.069120,0.009114,0.078429
84,0.075247,0.006648,0.082119
85,0.078050,0.008344,0.086560
86,0.077965,0.009681,0.087797
87,0.078473,0.006310,0.084921
88,0.074674,0.007546,0.082358
89,0.070504,0.005819,0.076470
90,0.061044,0.006200,0.067386
91,0.068467,0.006349,0.074955
92,0.080400,0.006300,0.086840
93,0.065918,0.005542,0.071590
94,0.087094,0.005313,0.092525
95,0.074500,0.005251,0.079871
96,0.079484,0.005582,0.085200
97,0.071024,0.004130,0.075243
98,0.079277,0.004385,0.083832
99,0.065228,0.003850,0.069181
