file,read,parse,total
0,0.066509,0.003584,0.070197
1,0.066868,0.003243,0.070179
2,0.072810,0.003380,0.076269
3,0.067213,0.003575,0.070939
4,0.068381,0.003241,0.071690
5,0.068348,0.003483,0.071908
6,0.068629,0.003368,0.072070
7,0.068023,0.003039,0.071127
8,0.068412,0.004171,0.072706
9,0.072833,0.003023,0.075925
10,0.071679,0.003739,0.075535
11,0.073114,0.003393,0.076610
12,0.069704,0.003786,0.073588
13,0.070962,0.003661,0.074752
14,0.071351,0.003810,0.075247
15,0.067546,0.003345,0.070971
16,0.074979,0.003250,0.078304
17,0.070008,0.003825,0.073919
18,0.072007,0.003436,0.075520
19,0.067009,0.003428,0.070520
20,0.069233,0.003302,0.072611
21,0.062707,0.003271,0.066049
22,0.069269,0.003101,0.072443
23,0.070929,0.003906,0.074918
24,0.071364,0.003423,0.074862
25,0.071027,0.003372,0.074474
26,0.072367,0.004029,0.076494
27,0.074986,0.003902,0.078973
28,0.072333,0.003179,0.075585
29,0.068918,0.004223,0.073264
30,0.073090,0.003204,0.076377
31,0.072713,0.004568,0.077366
32,0.059034,0.003486,0.062656
33,0.071220,0.003310,0.074606
34,0.068832,0.003416,0.072329
35,0.069825,0.003241,0.073148
36,0.067907,0.003543,0.071537
37,0.068492,0.003055,0.071636
38,0.072611,0.003260,0.075945
39,0.076455,0.003802,0.080352
40,0.069278,0.004356,0.073723
41,0.071673,0.003090,0.074827
42,0.072421,0.004743,0.077268
43,0.056136,0.003363,0.059577
44,0.069998,0.003151,0.073218
45,0.069080,0.003090,0.072238
46,0.059400,0.003103,0.062572
47,0.072144,0.003078,0.075290
48,0.072471,0.003291,0.075837
49,0.072324,0.004273,0.076702
