benchmark,extract,transform,load,total
2025-04-14,0.122405,0.007682,11.279209,11.409296
2025-04-15,0.116880,0.009774,11.046337,11.172991
2025-04-16,0.106051,0.008757,11.358440,11.473248
2025-04-17,0.117440,0.008011,11.466734,11.592185
2025-04-18,0.174367,0.010242,10.853932,11.038541
2025-04-19,0.130659,0.007546,11.079346,11.217551
2025-04-20,0.107921,0.008045,11.676971,11.792937
2025-04-21,0.120684,0.007979,11.873438,12.002101
2025-04-22,0.143640,0.008545,11.499146,11.651331
2025-04-23,0.117840,0.009663,12.183962,12.311465
2025-04-24,0.116141,0.007934,11.204948,11.329023
2025-04-25,0.116184,0.008869,11.342315,11.467368
2025-04-26,0.120148,0.007886,11.648679,11.776713
2025-04-27,0.121589,0.007960,11.040722,11.170271
2025-04-28,0.144896,0.007600,11.153234,11.305730
2025-04-29,0.114718,0.007541,10.898145,11.020404
2025-04-30,0.128497,0.007272,11.087544,11.223313
2025-05-01,0.115245,0.007346,11.065650,11.188241
2025-05-02,0.114187,0.007348,11.541686,11.663221
2025-05-03,0.118788,0.007410,10.825762,10.951960
2025-05-04,0.121943,0.007460,10.651036,10.780439
2025-05-05,0.122728,0.007957,11.291319,11.422004
2025-05-06,0.158473,0.007993,11.465195,11.631661
2025-05-07,0.117287,0.007669,10.746694,10.871650
2025-05-08,0.116094,0.007854,10.841883,10.965831
2025-05-09,0.115955,0.007665,11.034940,11.158560
2025-05-10,0.119563,0.007548,11.361605,11.488716
2025-05-11,0.111883,0.008887,11.277009,11.397779
2025-05-12,0.109879,0.007530,13.109354,13.226763
2025-05-13,0.115693,0.007395,13.781584,13.904672
2025-05-14,0.140004,0.010430,11.165799,11.316233
2025-05-15,0.109482,0.008239,11.742592,11.860313
2025-05-16,0.104709,0.007895,11.202620,11.315224
2025-05-17,0.151677,0.008015,11.474639,11.634331
2025-05-18,0.114095,0.007328,10.973163,11.094586
2025-05-19,0.113151,0.011195,10.670577,10.794923
2025-05-20,0.116093,0.007878,11.563742,11.687713
2025-05-21,0.109008,0.007358,10.810123,10.926489
2025-05-22,0.106444,0.007902,10.641333,10.755679
2025-05-23,0.120006,0.008196,10.888466,11.016668
2025-05-24,0.114584,0.007933,11.107116,11.229633
2025-05-25,0.108839,0.007610,11.003733,11.120182
2025-05-26,0.129788,0.008099,11.379861,11.517748
2025-05-27,0.126410,0.007954,11.167267,11.301631
2025-05-28,0.121416,0.007922,11.100462,11.229800
2025-05-29,0.138965,0.007392,11.237754,11.384111
2025-05-30,0.113567,0.007519,10.874296,10.995382
2025-05-31,0.113739,0.007253,10.522524,10.643516
2025-06-01,0.121997,0.008040,11.096472,11.226509
2025-06-02,0.111314,0.007958,11.327962,11.447234
2025-06-03,0.113424,0.008104,10.865793,10.987321
2025-06-04,0.134165,0.007927,10.625224,10.767316
2025-06-05,0.117580,0.007917,11.444956,11.570453
2025-06-06,0.126899,0.008949,11.030664,11.166512
2025-06-07,0.108511,0.008396,10.746900,10.863807
2025-06-08,0.111407,0.007367,11.217868,11.336642
2025-06-09,0.114530,0.007952,10.855284,10.977766
2025-06-10,0.132020,0.007505,11.130678,11.270203
2025-06-11,0.105333,0.008071,11.378761,11.492165
2025-06-12,0.128113,0.009261,11.336205,11.473579
2025-06-13,0.104886,0.007387,10.693116,10.805389
2025-06-14,0.097886,0.009674,11.027344,11.134904
2025-06-15,0.100295,0.011088,11.998675,12.110058
2025-06-16,0.121106,0.007945,10.648557,10.777608
2025-06-17,0.108612,0.007786,11.103169,11.219567
2025-06-18,0.105296,0.008346,11.496611,11.610253
2025-06-19,0.109010,0.007285,11.027971,11.144266
2025-06-20,0.101307,0.008309,11.108548,11.218164
2025-06-21,0.103554,0.007890,11.323618,11.435062
2025-06-22,0.114918,0.010012,11.096444,11.221374
2025-06-23,0.110415,0.007518,10.676549,10.794482
2025-06-24,0.102852,0.007807,10.936834,11.047493
2025-06-25,0.105452,0.007621,10.745350,10.858423
2025-06-26,0.098053,0.007261,10.644340,10.749654
2025-06-27,0.106866,0.009104,11.324000,11.439970
2025-06-28,0.111417,0.007968,11.429322,11.548707
2025-06-29,0.104728,0.007942,10.831165,10.943835
2025-06-30,0.100435,0.008062,10.995865,11.104362
2025-07-01,0.099294,0.007871,11.396620,11.503785
2025-07-02,0.099521,0.008130,11.099446,11.207097
2025-07-03,0.109859,0.007222,10.941913,11.058994
2025-07-04,0.106069,0.009145,10.681299,10.796513
2025-07-05,0.099783,0.007554,11.042633,11.149970
2025-07-06,0.099262,0.007796,11.524579,11.631637
2025-07-07,0.103781,0.008184,10.992324,11.104289
2025-07-08,0.100770,0.008014,11.474062,11.582846
2025-07-09,0.099844,0.007474,11.404473,11.511791
2025-07-10,0.093617,0.007688,10.833299,10.934604
2025-07-11,0.105554,0.007811,10.906887,11.020252
2025-07-12,0.101055,0.007919,11.259008,11.367982
2025-07-13,0.110058,0.008040,10.851165,10.969263
2025-07-14,0.098842,0.007445,11.187799,11.294086
2025-07-15,0.104988,0.007449,11.142576,11.255013
2025-07-16,0.124401,0.007946,10.998084,11.130431
2025-07-17,0.101566,0.007201,11.183291,11.292058
2025-07-18,0.100004,0.007421,11.074335,11.181760
2025-07-19,0.113195,0.007965,11.362993,11.484153
2025-07-20,0.110584,0.008226,11.235865,11.354675
2025-07-21,0.121161,0.007900,10.776532,10.905593
2025-07-22,0.134001,0.007707,10.875972,11.017680
2025-07-23,0.119040,0.007323,10.416917,10.543280
2025-07-24,0.109823,0.007892,11.142556,11.260271
2025-07-25,0.116845,0.008913,11.426503,11.552261
2025-07-26,0.112008,0.007581,10.884133,11.003722
2025-07-27,0.116398,0.007882,11.192537,11.316817
2025-07-28,0.104530,0.007395,11.113285,11.225210
2025-07-29,0.118521,0.008139,11.003864,11.130524
2025-07-30,0.118357,0.007191,11.219098,11.344646
2025-07-31,0.130100,0.007363,11.196557,11.334020
2025-08-01,0.110225,0.008060,11.460872,11.579157
2025-08-02,0.109096,0.007947,10.901142,11.018185
2025-08-03,0.236953,0.109365,13.227795,13.574113
2025-08-04,0.113200,0.009108,11.768261,11.890569
2025-08-05,0.123316,0.008988,11.358257,11.490561
2025-08-06,0.114270,0.009477,11.477979,11.601726
2025-08-07,0.113854,0.008231,12.620627,12.742712
2025-08-08,0.140191,0.008450,11.239406,11.388047
2025-08-09,0.122386,0.007902,11.783177,11.913465
2025-08-10,0.118524,0.008189,11.682138,11.808851
2025-08-11,0.127197,0.007428,11.752341,11.886966
2025-08-12,0.119086,0.007683,11.639777,11.766546
2025-08-13,0.112149,0.008505,11.689062,11.809716
2025-08-14,0.134834,0.007976,11.597835,11.740645
2025-08-15,0.157134,0.008103,11.494240,11.659477
2025-08-16,0.117388,0.008170,11.482844,11.608402
2025-08-17,0.115955,0.007714,11.227629,11.351298
2025-08-18,0.114932,0.007366,11.721458,11.843756
2025-08-19,0.145449,0.009125,11.921693,12.076267
2025-08-20,0.134178,0.008651,11.634038,11.776867
2025-08-21,0.112134,0.008048,11.574938,11.695120
2025-08-22,0.120234,0.009972,11.309828,11.440034
2025-08-23,0.114576,0.009246,11.700368,11.824190
2025-08-24,0.110545,0.008288,12.036502,12.155335
2025-08-25,0.121548,0.007616,11.126043,11.255207
2025-08-26,0.116764,0.007596,11.993379,12.117739
2025-08-27,0.120829,0.008478,11.603938,11.733245
2025-08-28,0.123921,0.007886,11.565078,11.696885
2025-08-29,0.115545,0.009289,11.199195,11.324029
2025-08-30,0.114645,0.009461,11.841217,11.965323
2025-08-31,0.120173,0.008787,11.793146,11.922106
2025-09-01,0.136780,0.007736,11.232646,11.377162
2025-09-02,0.114007,0.008227,11.742753,11.864987
2025-09-03,0.115579,0.008648,12.133098,12.257325
2025-09-04,0.123527,0.008530,11.570529,11.702586
2025-09-05,0.119670,0.008543,11.661007,11.789220
2025-09-06,0.119361,0.013812,11.938123,12.071296
2025-09-07,0.136394,0.007884,11.955110,12.099388
2025-09-08,0.110489,0.009820,11.980448,12.100757
2025-09-09,0.117606,0.011406,11.731819,11.860831
2025-09-10,0.117475,0.007765,11.596219,11.721459
2025-09-11,0.110810,0.007910,11.877871,11.996591
2025-09-12,0.127766,0.008172,11.307981,11.443919
2025-09-13,0.141580,0.008242,11.142647,11.292469
2025-09-14,0.110277,0.008805,11.958348,12.077430
2025-09-15,0.113393,0.010620,11.980391,12.104404
2025-09-16,0.111367,0.008691,11.635782,11.755840
2025-09-17,0.121726,0.009983,11.735312,11.867021
2025-09-18,0.121086,0.008215,11.602670,11.731971
2025-09-19,0.139901,0.007859,11.788204,11.935964
2025-09-20,0.111151,0.009274,12.583363,12.703788
2025-09-21,0.119166,0.010172,11.356380,11.485718
2025-09-22,0.123745,0.010424,11.671166,11.805335
2025-09-23,0.113205,0.009889,11.881418,12.004512
2025-09-24,0.133594,0.009491,11.441781,11.584866
2025-09-25,0.107693,0.007885,11.954502,12.070080
2025-09-26,0.112440,0.008770,11.881496,12.002706
2025-09-27,0.116727,0.008606,11.941997,12.067330
2025-09-28,0.126790,0.009165,12.017059,12.153014
2025-09-29,0.111765,0.009231,12.275979,12.396975
2025-09-30,0.134236,0.008157,11.724873,11.867266
2025-10-01,0.117543,0.008362,11.808464,11.934369
2025-10-02,0.115840,0.008164,12.216468,12.340472
2025-10-03,0.118906,0.008738,11.568260,11.695904
2025-10-04,0.142804,0.009029,12.143822,12.295655
2025-10-05,0.136151,0.008218,11.772078,11.916447
2025-10-06,0.116733,0.007879,11.333952,11.458564
2025-10-07,0.121992,0.010811,12.045038,12.177841
2025-10-08,0.114966,0.008997,11.859027,11.982990
2025-10-09,0.113789,0.008106,11.700243,11.822138
2025-10-10,0.119752,0.009404,10.920672,11.049828
2025-10-11,0.139940,0.007497,12.257247,12.404684
2025-10-12,0.119813,0.009081,11.816496,11.945390
2025-10-13,0.123045,0.007798,11.712431,11.843274
2025-10-14,0.115493,0.009226,11.948547,12.073266
2025-10-15,0.108979,0.008811,12.069775,12.187565
2025-10-16,0.141629,0.009195,11.231054,11.381878
2025-10-17,0.122402,0.007590,11.697600,11.827592
2025-10-18,0.118386,0.008407,11.727129,11.853922
2025-10-19,0.114597,0.009606,11.770721,11.894924
2025-10-20,0.117851,0.008032,11.955629,12.081512
2025-10-21,0.159104,0.008116,11.431031,11.598251
2025-10-22,0.129445,0.008527,11.726536,11.864508
2025-10-23,0.118727,0.011871,11.722743,11.853341
2025-10-24,0.110550,0.008251,11.637292,11.756093
2025-10-25,0.116024,0.010190,11.856775,11.982989
2025-10-26,0.116831,0.008490,10.758027,10.883348
2025-10-27,0.117546,0.007511,11.509220,11.634277
2025-10-28,0.137186,0.010105,11.524079,11.671370
2025-10-29,0.113181,0.008111,12.038469,12.159761
2025-10-30,0.121184,0.009049,11.498479,11.628712
2025-10-31,0.112960,0.009025,11.555712,11.677697
2025-11-01,0.117120,0.008292,11.538801,11.664213
2025-11-02,0.116719,0.008338,11.502347,11.627404
2025-11-03,0.138747,0.007345,11.269123,11.415215
2025-11-04,0.119726,0.008315,11.770757,11.898798
2025-11-05,0.114707,0.010213,11.596270,11.721190
2025-11-06,0.119136,0.008834,11.566046,11.694016
2025-11-07,0.111492,0.009761,11.637188,11.758441
2025-11-08,0.110200,0.007624,11.997217,12.115041
2025-11-09,0.134552,0.008674,11.535749,11.678975
2025-11-10,0.118558,0.009796,11.759470,11.887824
2025-11-11,0.109283,0.007900,12.157817,12.275000
2025-11-12,0.116508,0.009477,11.448560,11.574545
2025-11-13,0.123846,0.023020,12.456716,12.603582
2025-11-14,0.132047,0.009978,11.109923,11.251948
2025-11-15,0.117114,0.010269,11.668012,11.795395
2025-11-16,0.119476,0.008174,11.724622,11.852272
2025-11-17,0.114934,0.007838,11.867071,11.989843
2025-11-18,0.115491,0.008450,11.848025,11.971966
2025-11-19,0.116653,0.008551,12.007713,12.132917
2025-11-20,0.127586,0.009626,11.594545,11.731757
2025-11-21,0.118241,0.007720,11.599672,11.725633
2025-11-22,0.122802,0.007922,11.981964,12.112688
2025-11-23,0.115777,0.008127,11.577640,11.701544
2025-11-24,0.112794,0.009185,11.896984,12.018963
2025-11-25,0.150099,0.012459,11.518243,11.680801
2025-11-26,0.144320,0.009470,11.682015,11.835805
2025-11-27,0.123809,0.010748,11.653920,11.788477
2025-11-28,0.114443,0.007880,11.911840,12.034163
2025-11-29,0.129161,0.009776,11.273455,11.412392
2025-11-30,0.113684,0.008916,10.936377,11.058977
2025-12-01,0.121506,0.008093,11.893102,12.022701
2025-12-02,0.130100,0.008947,12.104077,12.243124
2025-12-03,0.121337,0.008249,11.453920,11.583506
2025-12-04,0.116940,0.007856,12.006384,12.131180
2025-12-05,0.119382,0.008277,11.669300,11.796959
2025-12-06,0.125304,0.009305,11.177528,11.312137
2025-12-07,0.117196,0.009494,11.839809,11.966499
2025-12-08,0.141238,0.009702,12.259972,12.410912
2025-12-09,0.116641,0.008606,12.169078,12.294325
2025-12-10,0.117960,0.008801,12.621829,12.748590
2025-12-11,0.118013,0.007976,11.279106,11.405095
2025-12-12,0.131326,0.007825,11.235548,11.374699
2025-12-13,0.136688,0.007479,11.642142,11.786309
2025-12-14,0.111229,0.007431,11.166852,11.285512
2025-12-15,0.113694,0.007571,11.460101,11.581366
2025-12-16,0.110047,0.007646,11.404747,11.522440
2025-12-17,0.111028,0.008040,11.067935,11.187003
2025-12-18,0.126324,0.008112,11.591331,11.725767
2025-12-19,0.130130,0.008773,11.626596,11.765499
2025-12-20,0.128806,0.007044,11.518462,11.654312
2025-12-21,0.117347,0.008074,10.727581,10.853002
2025-12-22,0.120639,0.007775,11.368414,11.496828
2025-12-23,0.110376,0.009255,11.063600,11.183231
2025-12-24,0.119757,0.007934,11.247325,11.375016
2025-12-25,0.138892,0.008039,11.454852,11.601783
2025-12-26,0.118601,0.007828,11.691443,11.817872
2025-12-27,0.120872,0.008075,11.133804,11.262751
2025-12-28,0.111381,0.007296,10.979638,11.098315
2025-12-29,0.114851,0.009495,11.634148,11.758494
2025-12-30,0.115487,0.007406,12.063349,12.186242
2025-12-31,0.144279,0.012584,12.347187,12.504050
