step,sum,mean,std,cv,median,min,max
read,78.9,0.789,0.335,42.41,0.724,0.3,1.755
compute,2.314,0.023,0.003,14.87,0.022,0.018,0.038
load,118.949,1.189,0.177,14.87,1.164,1.079,2.378
total,200.163,2.002,0.354,17.68,1.946,1.42,3.066
