aggregation,sum,mean,std,cv,median,min,max
quarter-hour,81.702,0.817,0.261,31.92,0.738,0.302,1.474
hour,35.062,0.351,0.157,44.89,0.262,0.219,0.672
day,20.179,0.202,0.012,5.92,0.202,0.17,0.23
month,20.28,0.203,0.013,6.54,0.202,0.147,0.239
year,20.067,0.201,0.019,9.46,0.203,0.154,0.242
